"5A299","5PQ99","","20061001","0"
"5A2N0","5PQN0","","20061001","0"
"5A2N1","5PQN1","","20061001","0"
"5A2N2","5PQN2","","20061001","0"
"5A2N3","5PQN3","","20061001","0"
"5A2N4","5PQN4","","20061001","0"
"5A2N5","5PQN5","","20061001","0"
"5A2N6","5PQN6","","20061001","0"
"5A2N8","5PQN8","","20061001","0"
"5A2N9","5PQN9","","20061001","0"
"5A6","5M6","","20020401","0"
"5A601","5M601","","20020401","0"
"5A602","5M602","","20020401","0"
"5A604","5M604","","20020401","0"
"5A605","5M605","","20020401","0"
"5AA","5NT","","20061001","0"
"5AA02","5NT24","","20061001","0"
"5AA03","5NT25","","20061001","0"
"5AA04","5NT26","","20061001","0"
"5AA05","5NT27","","20061001","0"
"5AA07","5NT29","","20061001","0"
"5AA08","5NT30","","20061001","0"
"5AA09","5NT31","","20061001","0"
"5AA10","5NT32","","20061001","0"
"5AA11","5NT33","","20061001","0"
"5AA12","5NT34","","20061001","0"
"5AA13","5NT35","","20061001","0"
"5AA14","5NT36","","20061001","0"
"5AC","5PD","","20061001","0"
"5AC01","5PD06","","20061001","0"
"5AC02","5PD10","","20061001","0"
"5AC03","5PD11","","20061001","0"
"5AC04","5PD12","","20061001","0"
"5AC05","5PD13","","20061001","0"
"5AC06","5PD14","","20061001","0"
"5AC07","5PD15","","20061001","0"
"5AC08","5PD07","","20061001","0"
"5AC09","5PD08","","20061001","0"
"5AC10","5PD16","","20061001","0"
"5AC12","5PD17","","20061001","0"
"5AC13","5PD54","","20061001","0"
"5AF","5PN","","20061001","0"
"5AF01","5PN01","","20061001","0"
"5AF02","5PN02","","20061001","0"
"5AF03","5PN03","","20061001","0"
"5AF04","5PN04","","20061001","0"
"5AF05","5PN05","","20061001","0"
"5AF06","5PN06","","20061001","0"
"5AF07","5PN07","","20061001","0"
"5AF08","5PN08","","20061001","0"
"5AF09","5PN09","","20061001","0"
"5AF10","5PN10","","20061001","0"
"5AF11","5PN11","","20061001","0"
"5AF12","5PN12","","20061001","0"
"5AF13","5PN13","","20061001","0"
"5AF14","5PN14","","20061001","0"
"5AF15","5PN15","","20061001","0"
"5AF16","5PN16","","20061001","0"
"5AF18","5PN18","","20061001","0"
"5AF19","5PN19","","20061001","0"
"5AF20","5PN20","","20061001","0"
"5AF21","5PN21","","20061001","0"
"5AF22","5PN22","","20061001","0"
"5AF23","5PN23","","20061001","0"
"5AF24","5PN24","","20061001","0"
"5AF25","5PN25","","20061001","0"
"5AF26","5PN26","","20061001","0"
"5AF27","5PN27","","20061001","0"
"5AF28","5PN28","","20061001","0"
"5AF29","5PN29","","20061001","0"
"5AF30","5PN30","","20061001","0"
"5AF31","5PN31","","20061001","0"
"5AF32","5PN32","","20061001","0"
"5AF33","5PN34","","20061001","0"
"5AF34","5PN35","","20061001","0"
"5AF35","5PN36","","20061001","0"
"5AF36","5PN42","","20061001","0"
"5AG","5PN","","20061001","0"
"5AG01","5PN33","","20061001","0"
"5AG02","5PN20","","20061001","0"
"5AG03","5PN21","","20061001","0"
"5AG04","5PN22","","20061001","0"
"5AH","5PW","","20061001","0"
"5AH01","5PW29","","20061001","0"
"5AH02","5PW22","","20061001","0"
"5AH03","5PW23","","20061001","0"
"5AH04","5PW24","","20061001","0"
"5AH05","5PW25","","20061001","0"
"5AH08","5PW28","","20061001","0"
"5AH09","5PW21","","20061001","0"
"5AH10","5PW30","","20061001","0"
"5AH11","5PW31","","20061001","0"
"5AJ","5PV","","20061001","0"
"5AJ01","5PV01","","20061001","0"
"5AJ02","5PV02","","20061001","0"
"5AJ03","5PVHQ","","20061001","0"
"5AJ04","5PV03","","20061001","0"
"5AJ05","5PV04","","20061001","0"
"5AJ06","5PV05","","20061001","0"
"5AJ07","5PV06","","20061001","0"
"5AJ08","5PV07","","20061001","0"
"5AK","5P1","","20061001","0"
"5AK01","5P101","","20061001","0"
"5AK02","5P102","","20061001","0"
"5AK03","5P103","","20061001","0"
"5AK04","5P104","","20061001","0"
"5AK05","5P105","","20061001","0"
"5AK06","5P106","","20061001","0"
"5AK07","5P107","","20061001","0"
"5AK08","5P108","","20061001","0"
"5AK09","5P109","","20061001","0"
"5AK10","5P110","","20061001","0"
"5AK11","5P111","","20061001","0"
"5AK12","5P112","","20061001","0"
"5AK13","5P113","","20061001","0"
"5AK14","5P114","","20061001","0"
"5AL","5N7","","20061001","0"
"5AL02","5N701","","20061001","0"
"5AL04","5N702","","20061001","0"
"5AL06","5N703","","20061001","0"
"5AL07","5N704","","20061001","0"
"5AL08","5N705","","20061001","0"
"5AL09","5N706","","20061001","0"
"5AL12","5N707","","20061001","0"
"5AL13","5N708","","20061001","0"
"5AL14","5N709","","20061001","0"
"5AL15","5N710","","20061001","0"
"5AL16","5N711","","20061001","0"
"5AL17","5N720","","20061001","0"
"5AM","5N8","","20061001","0"
"5AMAA","5N801","","20061001","0"
"5AMAC","5N802","","20061001","0"
"5AMBL","5N803","","20061001","0"
"5AMBT","5N804","","20061001","0"
"5AMCP","5N806","","20061001","0"
"5AMDJ","5N811","","20061001","0"
"5AMDP","5N812","","20061001","0"
"5AMDR","5N813","","20061001","0"
"5AMDT","5N814","","20061001","0"
"5AMEA","5N815","","20061001","0"
"5AMEB","5N816","","20061001","0"
"5AMEF","5N817","","20061001","0"
"5AMEN","5N818","","20061001","0"
"5AMEW","5N819","","20061001","0"
"5AMEX","5N820","","20061001","0"
"5AMFF","5N821","","20061001","0"
"5AMFH","5N822","","20061001","0"
"5AMFJ","5N823","","20061001","0"
"5AMFK","5N824","","20061001","0"
"5AMGM","5N825","","20061001","0"
"5AMHE","5N827","","20061001","0"
"5AMHP","5N828","","20061001","0"
"5AMYJ","5N836","","20061001","0"
"5AN","TAN","","20070901","0"
"5AN01","TAN01","","20070901","0"
"5AN03","TAN03","","20070901","0"
"5AN04","TAN04","","20070901","0"
"5AN05","TAN05","","20070901","0"
"5AN06","TAN06","","20070901","0"
"5AN07","TAN07","","20070901","0"
"5AN08","TAN08","","20070901","0"
"5AN17","TAN17","","20070901","0"
"5AN20","TAN20","","20070901","0"
"5AN21","TAN21","","20070901","0"
"5AN24","TAN24","","20070901","0"
"5AN27","TAN27","","20070901","0"
"5AN33","TAN33","","20070901","0"
"5AP","5N8","","20061001","0"
"5AP01","5N837","","20061001","0"
"5AP02","5N838","","20061001","0"
"5APCG","5N839","","20061001","0"
"5APCH","5N840","","20061001","0"
"5APDA","5N842","","20061001","0"
"5APDC","5N843","","20061001","0"
"5APDD","5N844","","20061001","0"
"5APDE","5N845","","20061001","0"
"5APDF","5N846","","20061001","0"
"5APDG","5N847","","20061001","0"
"5APDH","5N848","","20061001","0"
"5APDJ","5N811","","20061001","0"
"5APDL","5N849","","20061001","0"
"5APDM","5N850","","20061001","0"
"5APDN","5N851","","20061001","0"
"5APDW","5N852","","20061001","0"
"5APDX","5N853","","20061001","0"
"5APDY","5N854","","20061001","0"
"5APDZ","5N855","","20061001","0"
"5APEC","5N856","","20061001","0"
"5APEG","5N857","","20061001","0"
"5APET","5N858","","20061001","0"
"5APEY","5N859","","20061001","0"
"5APFN","5N860","","20061001","0"
"5APGL","5N861","","20061001","0"
"5APGP","5N862","","20061001","0"
"5APGR","5N863","","20061001","0"
"5APGT","5N864","","20061001","0"
"5APHP","5N828","","20061001","0"
